,date,currency,code,bid,ask
5305,2018-12-27,dolar australijski,AUD,2.6142,2.667
5306,2018-12-27,dolar kanadyjski,CAD,2.7247,2.7797
5307,2018-12-27,euro,EUR,4.2501,4.3359
5308,2018-12-27,forint (Wegry),HUF,0.013231,0.013499
5309,2018-12-27,frank szwajcarski,CHF,3.7767,3.8529
5310,2018-12-27,funt szterling,GBP,4.7014,4.7964
5311,2018-12-27,jen (Japonia),JPY,0.03357,0.034248
5312,2018-12-27,korona czeska,CZK,0.1644,0.1678
5313,2018-12-27,korona dunska,DKK,0.5692,0.5806
5314,2018-12-27,korona norweska,NOK,0.4233,0.4319
5315,2018-12-27,korona szwedzka,SEK,0.4127,0.4211
5316,2018-12-27,SDR (MFW),XDR,5.1659,5.2703
5317,2018-12-28,dolar amerykanski,USD,3.7201,3.7953
5318,2018-12-28,dolar australijski,AUD,2.6233,2.6763
5319,2018-12-28,dolar kanadyjski,CAD,2.7281,2.7833
5320,2018-12-28,euro,EUR,4.2614,4.3474
5321,2018-12-28,forint (Wegry),HUF,0.013252000000000002,0.01352
5322,2018-12-28,frank szwajcarski,CHF,3.7948,3.8714
5323,2018-12-28,funt szterling,GBP,4.7193,4.8147
5324,2018-12-28,jen (Japonia),JPY,0.033706,0.034386
5325,2018-12-28,korona czeska,CZK,0.1653,0.1687
5326,2018-12-28,korona dunska,DKK,0.5707,0.5823
5327,2018-12-28,korona norweska,NOK,0.4278,0.4364
5328,2018-12-28,korona szwedzka,SEK,0.4157,0.4241
5329,2018-12-28,SDR (MFW),XDR,5.1938,5.2988
5330,2018-12-31,dolar amerykanski,USD,3.7221,3.7973
5331,2018-12-31,dolar australijski,AUD,2.6284,2.6814
5332,2018-12-31,dolar kanadyjski,CAD,2.7343,2.7895
5333,2018-12-31,euro,EUR,4.257,4.343
5334,2018-12-31,forint (Wegry),HUF,0.01326,0.013528
5335,2018-12-31,frank szwajcarski,CHF,3.7784,3.8548
5336,2018-12-31,funt szterling,GBP,4.7416,4.8374
5337,2018-12-31,jen (Japonia),JPY,0.033783,0.034465
5338,2018-12-31,korona czeska,CZK,0.1656,0.16899999999999998
5339,2018-12-31,korona dunska,DKK,0.5701,0.5817
5340,2018-12-31,korona norweska,NOK,0.4282,0.4368
5341,2018-12-31,korona szwedzka,SEK,0.4159,0.4243
5342,2018-12-31,SDR (MFW),XDR,5.169,5.2734
5343,2019-01-02,dolar amerykanski,USD,3.7461,3.8217
5344,2019-01-02,dolar australijski,AUD,2.6193,2.6723
5345,2019-01-02,dolar kanadyjski,CAD,2.7496,2.8052
5346,2019-01-02,euro,EUR,4.2561,4.3421
5347,2019-01-02,forint (Wegry),HUF,0.013204,0.01347
5348,2019-01-02,frank szwajcarski,CHF,3.7891,3.8657
5349,2019-01-02,funt szterling,GBP,4.7227,4.8181
5350,2019-01-02,jen (Japonia),JPY,0.034252,0.034944
5351,2019-01-02,korona czeska,CZK,0.1651,0.1685
5352,2019-01-02,korona dunska,DKK,0.5699,0.5815
5353,2019-01-02,korona norweska,NOK,0.4298,0.4384
5354,2019-01-02,korona szwedzka,SEK,0.4166,0.425
5355,2019-01-02,SDR (MFW),XDR,5.1679,5.2723
5356,2019-01-03,dolar amerykanski,USD,3.7448,3.8204
5357,2019-01-03,dolar australijski,AUD,2.6169,2.6697
5358,2019-01-03,dolar kanadyjski,CAD,2.7698,2.8258
5359,2019-01-03,euro,EUR,4.2559,4.3419
5360,2019-01-03,forint (Wegry),HUF,0.013216,0.013482
5361,2019-01-03,frank szwajcarski,CHF,3.7858,3.8622
5362,2019-01-03,funt szterling,GBP,4.7105,4.8057
5363,2019-01-03,jen (Japonia),JPY,0.034756,0.035458
5364,2019-01-03,korona czeska,CZK,0.1656,0.16899999999999998
5365,2019-01-03,korona dunska,DKK,0.5699,0.5815
5366,2019-01-03,korona norweska,NOK,0.4293,0.4379
5367,2019-01-03,korona szwedzka,SEK,0.4147,0.4231
5368,2019-01-03,SDR (MFW),XDR,5.193,5.297999999999999
5369,2019-01-04,dolar amerykanski,USD,3.7455,3.8211
5370,2019-01-04,dolar australijski,AUD,2.6367,2.6899
5371,2019-01-04,dolar kanadyjski,CAD,2.7858,2.842
5372,2019-01-04,euro,EUR,4.2526,4.3386
5373,2019-01-04,forint (Wegry),HUF,0.013229,0.013497
5374,2019-01-04,frank szwajcarski,CHF,3.7833,3.8597
5375,2019-01-04,funt szterling,GBP,4.7304,4.8260000000000005
5376,2019-01-04,jen (Japonia),JPY,0.034529000000000004,0.035227
5377,2019-01-04,korona czeska,CZK,0.1659,0.1693
5378,2019-01-04,korona dunska,DKK,0.5694,0.581
5379,2019-01-04,korona norweska,NOK,0.4324,0.4412
5380,2019-01-04,korona szwedzka,SEK,0.4157,0.4241
5381,2019-01-04,SDR (MFW),XDR,5.1992,5.3042
5382,2019-01-07,dolar amerykanski,USD,3.7079,3.7829
5383,2019-01-07,dolar australijski,AUD,2.6452,2.6986
5384,2019-01-07,dolar kanadyjski,CAD,2.7795,2.8357
5385,2019-01-07,euro,EUR,4.2533,4.3393
5386,2019-01-07,forint (Wegry),HUF,0.013238,0.013506
5387,2019-01-07,frank szwajcarski,CHF,3.7867,3.8631
5388,2019-01-07,funt szterling,GBP,4.7385,4.8343
5389,2019-01-07,jen (Japonia),JPY,0.03424,0.034932
5390,2019-01-07,korona czeska,CZK,0.1662,0.1696
5391,2019-01-07,korona dunska,DKK,0.5695,0.5811
5392,2019-01-07,korona norweska,NOK,0.4333,0.4421
5393,2019-01-07,korona szwedzka,SEK,0.4158,0.4242
5394,2019-01-07,SDR (MFW),XDR,5.1875,5.2923
5395,2019-01-08,dolar amerykanski,USD,3.7196,3.7948
5396,2019-01-08,dolar australijski,AUD,2.6553,2.7089
5397,2019-01-08,dolar kanadyjski,CAD,2.7997,2.8563
5398,2019-01-08,euro,EUR,4.2549,4.3409
5399,2019-01-08,forint (Wegry),HUF,0.013227,0.013494999999999998
5400,2019-01-08,frank szwajcarski,CHF,3.7895,3.8661
5401,2019-01-08,funt szterling,GBP,4.734,4.8296
5402,2019-01-08,jen (Japonia),JPY,0.034167,0.034857
5403,2019-01-08,korona czeska,CZK,0.166,0.1694
5404,2019-01-08,korona dunska,DKK,0.5698,0.5814
5405,2019-01-08,korona norweska,NOK,0.4351,0.4439
5406,2019-01-08,korona szwedzka,SEK,0.417,0.4254
5407,2019-01-08,SDR (MFW),XDR,5.1782,5.2828
5408,2019-01-09,dolar amerykanski,USD,3.6897,3.7643
5409,2019-01-09,dolar australijski,AUD,2.6496,2.7032
5410,2019-01-09,dolar kanadyjski,CAD,2.7897,2.8461
5411,2019-01-09,euro,EUR,4.2525,4.3385
